GEOID20,District
080010095021013,7
080010095022000,7
080010095022001,7
080010095022014,7
080010095022015,7
080010095022016,7
080010095022017,7
080010095022018,7
080010095022019,7
080010095022020,7
080010095023020,7
080010095023021,7
080010095023023,7
080010095023024,7
080010095023028,7
080010095023029,7
080010095023030,7
080010096061008,7
080010096061009,7
080010096061017,7
080010096061018,7
080010096061019,7
080010096061020,7
080010096061021,7
080010096061022,7
080010096061023,7
080010096061024,7
080010096061025,7
080010096061026,7
080010096061027,7
080010096061028,7
080010096061029,7
080010096061030,7
080010096061031,7
080010096061034,7
080010096061035,7
080010096061036,7
080010096061037,7
080010096061038,7
080010096061039,7
080010096062000,7
080010096062001,7
080010096062002,7
080010096062003,7
080010096062004,7
080010096062005,7
080010096062006,7
080010096062011,7
080010096062012,7
080010096082000,7
080010096082001,7
080010096082002,7
080010096082003,7
080010096082004,7
080010096082005,7
080010096082006,7
080010096082007,7
080010096082008,7
080010096082009,7
080010096082010,7
080010096082011,7
080010096082012,7
080010096082013,7
080010096082014,7
080010096082015,7
080010096082016,7
080010096082017,7
080010096082018,7
080010096082019,7
080010096082020,7
080010096082021,7
080010096082022,7
080010096082023,7
080010096082024,7
080010097511002,7
080010097511003,7
080010097511004,7
080010097511005,7
080010096081003,7
080010096081004,7
080010096081006,7
080010096081007,7
080010096081008,7
080010096081009,7
080010096081010,7
080010096081011,7
080010096081012,7
080010096081013,7
080010096081014,7
080010096081015,7
080010096081016,7
080010096081017,7
080010096081018,7
080010096081019,7
080010096081020,7
080010096081021,7
080010096081022,7
080010096071000,7
080010096071001,7
080010096071002,7
080010096071003,7
080010096071004,7
080010096071005,7
080010096071006,7
080010096071007,7
080010096071008,7
080010096071009,7
080010096071010,7
080010096071011,7
080010096071012,7
080010096071013,7
080010096072001,7
080010096072005,7
080010096072006,7
080010096072018,7
080010096073000,7
080010096073001,7
080010096073002,7
080010096073003,7
080010096073004,7
080010096081001,7
080010096081002,7
080010096031001,7
080010096032000,7
080010096032001,7
080010096032002,7
080010096032003,7
080010096032004,7
080010096032005,7
080010096032006,7
080010096032007,7
080010096032008,7
080010096032009,7
080010096032010,7
080010096032011,7
080010096032012,7
080010096032013,7
080010096032014,7
080010096041000,7
080010096041001,7
080010096041002,7
080010096041003,7
080010096041004,7
080010096041005,7
080010096041006,7
080010096041007,7
080010096041008,7
080010096041009,7
080010096041010,7
080010096041011,7
080010096041012,7
080010096041013,7
080010096041014,7
080010096041015,7
080010096041016,7
080010096041017,7
080010096041018,7
080010096041019,7
080010096041020,7
080010096041021,7
080010094011000,7
080010094011001,7
080010094011002,7
080010094011003,7
080010094011004,7
080010094011005,7
080010094011006,7
080010094011007,7
080010094011008,7
080010094011009,7
080010094011010,7
080010094011011,7
080010094011012,7
080010094011013,7
080010094011014,7
080010094011015,7
080010094011016,7
080010094011017,7
080010094011018,7
080010094011019,7
080010094011020,7
080010094011021,7
080010094011022,7
080010094011023,7
080010094011024,7
080010094011025,7
